In,Node,Closeness,Betweeness,Sujeto,Posicion,Ensayo,Selection
2,Central image,0.16666666666666666,0,104,1,5,Real
1,Inferior image,0.16666666666666666,0,104,1,5,Real
2,Superior image,0.02631578947368421,0,104,1,6,Precio
2,Central image,0.023255813953488375,2,104,1,6,Precio
2,Inferior image,0.02040816326530612,2,104,1,6,Precio
0,Center Number of comments,0.02040816326530612,0,104,1,6,Precio
0,Superior location score,0.02040816326530612,0,104,1,6,Precio
1,Superior review score,0.017857142857142856,0,104,1,6,Precio
1,Inferior Number of comments,0.017857142857142856,0,104,1,6,Precio
1,Inferior location score,0.017857142857142856,0,104,1,6,Precio
4,Superior image,0.05,0,104,2,7,Real
0,Central image,0.07692307692307693,0,104,2,7,Real
1,Inferior image,0.0625,1,104,2,7,Real
0,Superior Number of comments,0.0625,0,104,2,7,Real
1,Central Dist from center,0.05,0,104,2,7,Real
2,Superior image,0.08333333333333333,0,104,2,8,Precio
1,Central image,0.1111111111111111,0,104,2,8,Precio
3,Inferior image,0.08333333333333333,0,104,2,8,Precio
0,Center location score,0.1111111111111111,0,104,2,8,Precio
2,Inferior image,NA,0,104,2,9,Precio
1,Central image,0.14285714285714285,0,104,2,10,Precio
2,Inferior image,0.1111111111111111,1,104,2,10,Precio
1,Center price,0.08333333333333333,0,104,2,10,Precio
1,Superior price,0.08333333333333333,0,104,2,10,Precio
1,Superior image,0.3333333333333333,0,104,2,11,Real
1,Central image,0.25,1,104,2,11,Real
1,Inferior image,0.16666666666666666,0,104,2,11,Real
2,Superior image,0.08333333333333333,0,104,2,12,Precio
0,Central image,0.1111111111111111,0,104,2,12,Precio
0,Superior price,0.1111111111111111,0,104,2,12,Precio
1,Inferior image,0.08333333333333333,0,104,2,12,Precio
0,Superior image,0.1111111111111111,0,104,2,13,Real
0,Inferior image,0.1111111111111111,0,104,2,13,Real
1,Central image,0.08333333333333333,0,104,2,13,Real
1,Central Dist from center,0.08333333333333333,0,104,2,13,Real
1,Central image,0.16666666666666666,0,104,2,14,Precio
0,Center Number of comments,0.25,0,104,2,14,Precio
1,Superior price,0.16666666666666666,0,104,2,14,Precio
1,Superior image,1,0,104,3,15,Real
4,Inferior image,1,0,104,3,15,Real
2,Superior image,0.047619047619047616,2,104,2,16,Comentarios
4,Central image,0.04,2,104,2,16,Comentarios
2,Inferior image,0.03333333333333333,0,104,2,16,Comentarios
0,Inferior review score,0.04,0,104,2,16,Comentarios
0,Superior location score,0.05555555555555556,0,104,2,16,Comentarios
1,Center Number of comments,0.03333333333333333,0,104,2,16,Comentarios
1,Superior image,0.25,1,104,2,17,Real
1,Inferior image,0.3333333333333333,0,104,2,17,Real
1,Central image,0.16666666666666666,0,104,2,17,Real
2,Superior image,0.09090909090909091,3,104,2,18,Real
2,Central image,0.07692307692307693,4,104,2,18,Real
2,Inferior image,0.0625,3,104,2,18,Real
0,Center location score,0.1,0,104,2,18,Real
1,Inferior star rating,0.05,0,104,2,18,Real
2,Central image,0.047619047619047616,2,104,3,19,Real
2,Inferior image,0.04,2,104,3,19,Real
0,Center location score,0.04,0,104,3,19,Real
0,Center price,0.05555555555555556,0,104,3,19,Real
1,Center Number of comments,0.03333333333333333,0,104,3,19,Real
1,Superior price,0.03333333333333333,0,104,3,19,Real
4,Superior image,0.05,0,105,1,0,Real
1,Inferior image,0.05,0,105,1,0,Real
0,Superior Dist from center,0.0625,0,105,1,0,Real
0,Inferior location score,0.0625,0,105,1,0,Real
1,Center location score,0.05,0,105,1,0,Real
0,Superior image,0.1111111111111111,0,105,3,1,Comentarios
0,Center location score,0.1111111111111111,0,105,3,1,Comentarios
1,Center review score,0.08333333333333333,0,105,3,1,Comentarios
1,Superior price,0.08333333333333333,0,105,3,1,Comentarios
0,Superior image,1,0,105,2,2,Comentarios
1,Inferior Dist from center,0.5,0,105,2,2,Comentarios
2,Superior image,0.03333333333333333,0,105,3,3,Comentarios
0,Central image,0.04,0,105,3,3,Comentarios
0,Inferior review score,0.04,0,105,3,3,Comentarios
0,Inferior location score,0.04,0,105,3,3,Comentarios
1,Inferior image,0.03333333333333333,0,105,3,3,Comentarios
1,Center location score,0.03333333333333333,0,105,3,3,Comentarios
1,Superior image,0.0625,1,105,2,4,Real
0,Inferior image,0.0625,0,105,2,4,Real
0,Superior Number of comments,0.07692307692307693,0,105,2,4,Real
1,Central image,0.05,0,105,2,4,Real
1,Superior Dist from center,0.05,0,105,2,4,Real
2,Inferior image,0.05,0,105,3,5,Precio
0,Inferior Dist from center,0.0625,0,105,3,5,Precio
1,Center Number of comments,0.05,0,105,3,5,Precio
0,Superior price,0.0625,0,105,3,5,Precio
1,Center review score,0.05,0,105,3,5,Precio
1,Superior image,0.16666666666666666,0,105,3,6,Comentarios
0,Superior Dist from center,0.25,0,105,3,6,Comentarios
1,Superior price,0.16666666666666666,0,105,3,6,Comentarios
0,Superior image,1,0,105,1,7,Precio
1,Inferior image,0.5,0,105,1,7,Precio
1,Superior image,0.0625,1,105,1,8,Comentarios
0,Superior Dist from center,0.0625,0,105,1,8,Comentarios
0,Superior price,0.07692307692307693,0,105,1,8,Comentarios
1,Inferior image,0.05,0,105,1,8,Comentarios
1,Center Number of comments,0.05,0,105,1,8,Comentarios
1,Central image,0.25,1,105,2,9,Precio
0,Superior location score,0.3333333333333333,0,105,2,9,Precio
1,Central Dist from center,0.16666666666666666,0,105,2,9,Precio
1,Inferior Number of comments,NA,0,105,1,10,Comentarios
1,Center Number of comments,0.25,1,105,2,11,Comentarios
0,Superior price,0.3333333333333333,0,105,2,11,Comentarios
1,Inferior location score,0.16666666666666666,0,105,2,11,Comentarios
2,Superior image,0.08333333333333333,0,105,1,12,Comentarios
0,Central Dist from center,0.1111111111111111,0,105,1,12,Comentarios
0,Inferior review score,0.1111111111111111,0,105,1,12,Comentarios
1,Superior review score,0.08333333333333333,0,105,1,12,Comentarios
2,Superior image,0.017857142857142856,0,105,3,13,Real
0,Central image,0.02040816326530612,0,105,3,13,Real
2,Inferior image,0.017857142857142856,0,105,3,13,Real
0,Inferior Number of comments,0.02040816326530612,0,105,3,13,Real
0,Inferior location score,0.02631578947368421,0,105,3,13,Real
1,Superior price,0.023255813953488375,2,105,3,13,Real
1,Center price,0.02040816326530612,2,105,3,13,Real
1,Superior location score,0.017857142857142856,0,105,3,13,Real
1,Superior image,0.1111111111111111,0,105,2,14,Precio
0,Center review score,0.1111111111111111,0,105,2,14,Precio
1,Inferior image,0.08333333333333333,0,105,2,14,Precio
1,Superior price,0.08333333333333333,0,105,2,14,Precio
1,Superior image,0.25,1,105,3,15,Real
0,Center Number of comments,0.3333333333333333,0,105,3,15,Real
1,Central Dist from center,0.16666666666666666,0,105,3,15,Real
0,Central Dist from center,0.1111111111111111,0,105,2,16,Precio
0,Inferior location score,0.1111111111111111,0,105,2,16,Precio
1,Center location score,0.08333333333333333,0,105,2,16,Precio
1,Center price,0.08333333333333333,0,105,2,16,Precio
0,Superior image,0.0625,0,105,2,17,Comentarios
0,Center review score,0.0625,0,105,2,17,Comentarios
1,Superior price,0.05,0,105,2,17,Comentarios
1,Central image,0.05,0,105,2,17,Comentarios
1,Superior location score,0.05,0,105,2,17,Comentarios
1,Superior Dist from center,0.25,1,105,2,18,Real
0,Center price,0.3333333333333333,0,105,2,18,Real
1,Central Dist from center,0.16666666666666666,0,105,2,18,Real
1,Center price,NA,0,105,2,19,Real
1,Superior image,0.08333333333333333,0,106,3,0,Comentarios
2,Central image,0.08333333333333333,0,106,3,0,Comentarios
2,Inferior image,0.08333333333333333,0,106,3,0,Comentarios
1,Superior price,0.08333333333333333,0,106,3,0,Comentarios
1,Superior image,0.3333333333333333,1,106,3,1,Real
1,Central image,0.3333333333333333,1,106,3,1,Real
2,Inferior image,0.3333333333333333,1,106,3,1,Real
1,Superior image,0.08333333333333333,0,106,1,2,Comentarios
0,Central image,0.1111111111111111,0,106,1,2,Comentarios
1,Superior price,0.08333333333333333,0,106,1,2,Comentarios
1,Inferior image,0.08333333333333333,0,106,1,2,Comentarios
0,Central image,1,0,106,3,3,Precio
1,Inferior image,0.5,0,106,3,3,Precio
2,Superior image,0.16666666666666666,0,106,1,4,Precio
1,Central image,0.25,0,106,1,4,Precio
1,Inferior image,0.16666666666666666,0,106,1,4,Precio
0,Central image,1,0,106,3,5,Precio
1,Inferior image,0.5,0,106,3,5,Precio
2,Central image,0.3333333333333333,1,106,3,6,Comentarios
2,Inferior image,0.3333333333333333,1,106,3,6,Comentarios
1,Superior price,0.3333333333333333,1,106,3,6,Comentarios
1,Central image,0.5,0,106,3,7,Precio
1,Inferior image,0.5,0,106,3,7,Precio
1,Central image,0.5,0,106,2,8,Real
1,Inferior image,0.5,0,106,2,8,Real
2,Central image,1,0,106,3,9,Real
3,Inferior image,1,0,106,3,9,Real
0,Superior image,0.3333333333333333,0,106,1,10,Comentarios
1,Central image,0.25,1,106,1,10,Comentarios
1,Inferior image,0.16666666666666666,0,106,1,10,Comentarios
0,Superior image,0.3333333333333333,0,106,1,11,Real
1,Central image,0.25,1,106,1,11,Real
1,Inferior image,0.16666666666666666,0,106,1,11,Real
2,Superior image,0.25,1,106,2,12,Real
0,Inferior image,0.3333333333333333,0,106,2,12,Real
1,Central image,0.16666666666666666,0,106,2,12,Real
0,Central image,1,0,106,3,13,Comentarios
2,Inferior image,0.5,0,106,3,13,Comentarios
1,Superior image,0.16666666666666666,0,106,2,15,Precio
0,Central image,0.25,0,106,2,15,Precio
2,Inferior image,0.16666666666666666,0,106,2,15,Precio
